"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"MH_10","PUBLISHED","2011","AMR","","DOM","0.58","0.58000","","",""
"MH_14","PUBLISHED","2011","AFR","","ERI","0","0.00000","","",""
"MH_10","PUBLISHED","2011","AFR","","ERI","0.06","0.06000","","",""
"MH_14","PUBLISHED","2011","WPR","","FJI","0","0.00000","","",""
"MH_10","PUBLISHED","2011","WPR","","FJI","0.12","0.12000","","",""
"MH_11","PUBLISHED","2011","EUR","","FRA","3.5","3.50000","","",""
"MH_11","PUBLISHED","2011","EUR","","GEO","0.07","0.07000","","",""
"MH_11","PUBLISHED","2011","AFR","","GNB","0","0.00000","","",""
"MH_10","PUBLISHED","2011","AMR","","GUY","0.26","0.26000","","",""
"MH_11","PUBLISHED","2011","AMR","","HTI","0","0.00000","","",""
"MH_14","PUBLISHED","2011","EMR","","IRQ","0","0.00000","","",""
"MH_10","PUBLISHED","2011","EUR","","ISL","2.73","2.73000","","",""
"MH_14","PUBLISHED","2011","EUR","","ISL","17.31","17.31000","","",""
"MH_10","PUBLISHED","2011","EUR","","ITA","1.43","1.43000","","",""
"MH_11","PUBLISHED","2011","EUR","","KAZ","0.1","0.10000","","",""
"MH_14","PUBLISHED","2011","WPR","","KOR","0.26","0.26000","","",""
"MH_11","PUBLISHED","2011","EMR","","LBN","0","0.00000","","",""
"MH_14","PUBLISHED","2011","EMR","","LBN","0.16","0.16000","","",""
"MH_10","PUBLISHED","2011","EUR","","LUX","2.44","2.44000","","",""
