region,region,classification,country,city,pm10,pm25
Amr HI,Amr,HI,Canada,LONGUEUIL,14.88238704,8.5
Amr HI,Amr,HI,Canada,MISSISSAUGA,14.00695251,8
Amr HI,Amr,HI,Canada,MONCTON,10.50521438,6
Amr HI,Amr,HI,Canada,MONTREAL,15.66666667,10.11111111
Amr HI,Amr,HI,Canada,MORRISBURG,12.25608345,7
Amr HI,Amr,HI,Canada,MOUNT PEARL,10.50521438,6
Amr HI,Amr,HI,Canada,NANAIMO,10,5.711449364
Amr HI,Amr,HI,Canada,NELSON,13,7.424884173
Amr HI,Amr,HI,Canada,NEWMARKET,12.25608345,7
Amr HI,Amr,HI,Canada,NORMAN WELLS,5.252607191,3
Amr HI,Amr,HI,Canada,NORTH BAY,8.754345319,5
Amr HI,Amr,HI,Canada,NORTH VANCOUVER,9.629779851,5.5
Amr HI,Amr,HI,Canada,NOTRE-DAME-DU-ROSAIRE,8.754345319,5
Amr HI,Amr,HI,Canada,OAKVILLE,14.00695251,8
Amr HI,Amr,HI,Canada,OSHAWA,12.25608345,7
Amr HI,Amr,HI,Canada,OTTAWA,11,7
Amr HI,Amr,HI,Canada,PARRY SOUND,10.50521438,6
Amr HI,Amr,HI,Canada,PETAWAWA,8.754345319,5
Amr HI,Amr,HI,Canada,PETERBOROUGH,12.25608345,7
Amr HI,Amr,HI,Canada,PICTOU,12.25608345,7
Amr HI,Amr,HI,Canada,PORT ALBERNI,14.00695251,8
Amr HI,Amr,HI,Canada,PORT HAWKESBURY,10.50521438,6
Amr HI,Amr,HI,Canada,PORT MOODY,11,6
Amr HI,Amr,HI,Canada,PORT STANLEY,12.25608345,7
Amr HI,Amr,HI,Canada,POWELL RIVER,7,3.998014554
Amr HI,Amr,HI,Canada,PRINCE GEORGE,15.33333333,8.757555691
Amr HI,Amr,HI,Canada,QUEBEC,18,9
Amr HI,Amr,HI,Canada,QUESNEL,15,8.567174045
Amr HI,Amr,HI,Canada,REGINA,25,14.27862341
Amr HI,Amr,HI,Canada,RICHMOND,12.25608345,7
Amr HI,Amr,HI,Canada,ROUYN-NORANDA,12.25608345,7
Amr HI,Amr,HI,Canada,SAGUENAY,10.50521438,6
Amr HI,Amr,HI,Canada,SAINT JOHN,8,6.75
Amr HI,Amr,HI,Canada,SAINT-FAUSTIN-LAC-CARRE,8.754345319,5
Amr HI,Amr,HI,Canada,SAINT-JEAN-SUR-RICHELIEU,12.25608345,7
Amr HI,Amr,HI,Canada,SAINT-SIMON,15.75782157,9
Amr HI,Amr,HI,Canada,SAINT-ZEPHIRIN-DE-COURVAL,14.00695251,8
Amr HI,Amr,HI,Canada,SARNIA,14.00695251,8
Amr HI,Amr,HI,Canada,SASKATOON,16,9.138318982
Amr HI,Amr,HI,Canada,SAULT STE. MARIE,10.50521438,6
Amr HI,Amr,HI,Canada,SENNETERRE,8.754345319,5
Amr HI,Amr,HI,Canada,SHERBROOKE,14.00695251,8
Amr HI,Amr,HI,Canada,SIMCOE,14.00695251,8
Amr HI,Amr,HI,Canada,ST. ANDREWS,12.25608345,7
Amr HI,Amr,HI,Canada,ST. CATHARINES,14.00695251,8
Amr HI,Amr,HI,Canada,ST. JOHN'S,8.754345319,5
Amr HI,Amr,HI,Canada,ST-HILAIRE-DE-DORSET,7.003476255,4
Amr HI,Amr,HI,Canada,STUKELY-SUD,8.754345319,5
Amr HI,Amr,HI,Canada,SUDBURY,10.50521438,6
Amr HI,Amr,HI,Canada,SURREY,12.25608345,7
Amr HI,Amr,HI,Canada,SYDNEY,10.50521438,6
Amr HI,Amr,HI,Canada,TERRACE,15,8.567174045
Amr HI,Amr,HI,Canada,THOMSON,12,4
Amr HI,Amr,HI,Canada,THUNDER BAY,10.50521438,6
Amr HI,Amr,HI,Canada,TINGWICK,12.25608345,7
Amr HI,Amr,HI,Canada,TORONTO,14.33333333,8.4
Amr HI,Amr,HI,Canada,TROIS-RIVIERES,19.2595597,11
Amr HI,Amr,HI,Canada,VANCOUVER,12.25608345,7
Amr HI,Amr,HI,Canada,VANDERHOOF,21.01042877,12
Amr HI,Amr,HI,Canada,VARENNES,15.75782157,9
Amr HI,Amr,HI,Canada,VICTORIA,13.13151798,7.5
Amr HI,Amr,HI,Canada,WEST VANCOUVER,8.754345319,5
Amr HI,Amr,HI,Canada,WHITEHORSE,10.50521438,6
Amr HI,Amr,HI,Canada,WILLIAMS LAKE,15,8.567174045
Amr HI,Amr,HI,Canada,WINDSOR,17,9.5
Amr HI,Amr,HI,Canada,WINNIPEG,17,6.5
Amr HI,Amr,HI,Canada,YELLOWKNIFE,11,6
Amr HI,Amr,HI,Chile,Andacollo,66.83,30.84749141
Amr HI,Amr,HI,Chile,Antofagasta,39.65,12.18
